Nome	Constelação	Área de Influência	Interpretação (Astrologia Horária)	 
Nihal	Beta (β) Lepus	Parcerias e união	Em Astrologia Horária, Nihal costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Nodus Ii	Delta (δ) Draco	Viagens e deslocamentos	Em Astrologia Horária, Nodus Ii costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Nunki	Sigma (σ) Sagittarius	Conhecimento e sabedoria	Em Astrologia Horária, Nunki costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Nusakan	Beta (β) Corona Borealis	Parcerias e união	Em Astrologia Horária, Nusakan costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Oculus	Pi (π) Capricornus	Combate e estratégia	Em Astrologia Horária, Oculus costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Peacock	Alpha (α) Pavo	Parcerias e união	Em Astrologia Horária, Peacock costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Phact	Alpha (α) Columba	Conhecimento e sabedoria	Em Astrologia Horária, Phact costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Phecda	Gamma (γ) Ursa Major	Parcerias e união	Em Astrologia Horária, Phecda costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Pherkad	Gamma (γ) Ursa Minor	Combate e estratégia	Em Astrologia Horária, Pherkad costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Pleione	28 Taurus	Direção e propósito	Em Astrologia Horária, Pleione costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Polaris	Alpha (α) Ursa Minor	Conhecimento e sabedoria	Em Astrologia Horária, Polaris costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Polis	Mu (μ) Sagittarius	Conhecimento e sabedoria	Em Astrologia Horária, Polis costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Pollux	Beta (β) Gemini	Viagens e deslocamentos	Em Astrologia Horária, Pollux costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Porrima	Gamma (γ) Virgo	Viagens e deslocamentos	Em Astrologia Horária, Porrima costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Praecipua	Omicron (ο) Leo Minor	Combate e estratégia	Em Astrologia Horária, Praecipua costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Praesaepe	Epsilon (ε) or M44 Cancer	Conhecimento e sabedoria	Em Astrologia Horária, Praesaepe costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Prima Hyadum	Gamma (γ) Taurus	Conhecimento e sabedoria	Em Astrologia Horária, Prima Hyadum costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Princeps	Delta (δ) Bootes	Combate e estratégia	Em Astrologia Horária, Princeps costuma indicar que a questão exige clareza de propósito, disciplina e leitura realista do cenário. Bem colocada, favorece decisões firmes, acordos transparentes e avanço consistente rumo ao objetivo. Pode representar uma pessoa-chave cuja atuação organiza o processo e reduz a incerteza. Se aflita, adverte sobre teimosia, promessas vagas ou rotas mal definidas que atrasam o desfecho. Em assuntos profissionais, recomenda planejamento e critérios técnicos; em relações, pede diálogo franco e limites saudáveis. Como assinatura, sugere que o caminho mais simples, sustentado por fatos, é o que produz resultados duráveis.	 
Procyon	Alpha (α) Canis Minor	Viagens e deslocamentos	Em Astrologia Horária, Procyon tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Propus	Eta (η) Gemini	Viagens e deslocamentos	Em Astrologia Horária, Propus tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Rana	Delta (δ) Eridanus	Conhecimento e sabedoria	Em Astrologia Horária, Rana tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Ras Algethi	Alpha (α) Hercules	Combate e estratégia	Em Astrologia Horária, Ras Algethi tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Ras Alhague	Alpha (α) Ophiuchus	Conhecimento e sabedoria	Em Astrologia Horária, Ras Alhague tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Ras Elased Australis	Epsilon (ε) Leo	Combate e estratégia	Em Astrologia Horária, Ras Elased Australis tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Ras Elased Borealis	Mu (μ) Leo	Combate e estratégia	Em Astrologia Horária, Ras Elased Borealis tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Regulus	Alpha (α) Leo	Conhecimento e sabedoria	Em Astrologia Horária, Regulus tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Rigel	Beta (β) Orion	Conhecimento e sabedoria	Em Astrologia Horária, Rigel tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Rotanev	Beta (β) Delphinus	Viagens e deslocamentos	Em Astrologia Horária, Rotanev tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Rucha	Delta (δ) Cassiopeia	Combate e estratégia	Em Astrologia Horária, Rucha tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Rukbat	Alpha (α) Sagittarius	Parcerias e união	Em Astrologia Horária, Rukbat tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sabik	Eta (η) Ophiuchus	Parcerias e união	Em Astrologia Horária, Sabik tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sadalachbia	Gamma (γ) Aquarius	Combate e estratégia	Em Astrologia Horária, Sadalachbia tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sadalbari	Mu (μ) Pegasus	Conhecimento e sabedoria	Em Astrologia Horária, Sadalbari tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sadalmelik	Alpha (α) Aquarius	Conhecimento e sabedoria	Em Astrologia Horária, Sadalmelik tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sadalsuud	Beta (β) Aquarius	Viagens e deslocamentos	Em Astrologia Horária, Sadalsuud tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sador	Gamma (γ) Cygnus	Parcerias e união	Em Astrologia Horária, Sador tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Saiph	Kappa (κ) Orion	Viagens e deslocamentos	Em Astrologia Horária, Saiph tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sargas	Theta (θ) Scorpius	Parcerias e união	Em Astrologia Horária, Sargas tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sarin	Delta (δ) Hercules	Combate e estratégia	Em Astrologia Horária, Sarin tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sceptrum	53 Eridanus	Conhecimento e sabedoria	Em Astrologia Horária, Sceptrum tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Scheat	Beta (β) Pegasus	Conhecimento e sabedoria	Em Astrologia Horária, Scheat tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Schedir	Alpha (α) Cassiopeia	Combate e estratégia	Em Astrologia Horária, Schedir tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Segin	Epsilon (ε) Cassiopeia	Combate e estratégia	Em Astrologia Horária, Segin tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Seginus	Gamma (γ) Bootes	Combate e estratégia	Em Astrologia Horária, Seginus tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sham	Alpha (α) Sagitta	Combate e estratégia	Em Astrologia Horária, Sham tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Shaula	Lambda (λ) Scorpius	Parcerias e união	Em Astrologia Horária, Shaula tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sheliak	Beta (β) Lyra	Conhecimento e sabedoria	Em Astrologia Horária, Sheliak tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
Sheratan	Beta (β) Aries	Conhecimento e sabedoria	Em Astrologia Horária, Sheratan tende a sinalizar necessidade de clareza de propósito, organização e ação prática. Bem colocada, favorece acordos transparentes, timing preciso e escolhas que priorizam segurança e eficiência. Pode indicar apoio de alguém experiente que orienta o processo até a conclusão. Se aflita, alerta para promessas vagas, atrasos por procrastinação ou excesso de confiança em atalhos. Em temas profissionais, pede planejamento e métricas; em relações, incentiva conversar com franqueza e estabelecer fronteiras saudáveis. Como assinatura, sugere que resultados duráveis virão do essencial bem feito, não de complicações desnecessárias.	 
